taxon,sample_size,run,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,50,37,relative_time_first_species,-0.18884787188680455,0.06193557605313325,-0.31331207222925156,-0.06438367154435755,-3.0491017266844485,0.003695589966198629
Birds,50,38,(Intercept),2.1902016212963726,0.039761305004541524,2.110298289216386,2.270104953376359,55.08374589431128,9.708078746792342e-46
Birds,50,38,relative_time_first_species,-0.21188872160727734,0.05676704278709647,-0.3259663628868926,-0.09781108032766209,-3.7326010164376764,4.935537666901104e-4
Birds,50,39,(Intercept),2.033339142934922,0.04258718183729885,1.9477569969674238,2.11892128890242,47.74533216833042,9.439808070781908e-43
Birds,50,39,relative_time_first_species,-0.011762064648337187,0.06849322779086367,-0.14940435884034142,0.12588022954366707,-0.17172595054581632,0.8643602416802021
Birds,50,40,(Intercept),2.124917473976669,0.04598722187700291,2.0325026938021877,2.21733225415115,46.20669366938403,4.5410894675707537e-42
Birds,50,40,relative_time_first_species,-0.10769252775213489,0.06171277127502608,-0.2317089828840203,0.01632392737975051,-1.7450606337576011,0.08724336998845601
Birds,50,41,(Intercept),2.074856966539119,0.04025608921839713,1.99395932425859,2.155754608819648,51.541443961002166,2.388541089912252e-44
Birds,50,41,relative_time_first_species,-0.07561759928210995,0.05532047244670886,-0.18678825661564138,0.03555305805142148,-1.366900822384582,0.17789529867632067
Birds,50,42,(Intercept),2.143369235913668,0.03796498486448494,2.067075740421191,2.219662731406145,56.456475448742324,2.9603499023818747e-46
Birds,50,42,relative_time_first_species,-0.27676564895743694,0.06370829849233697,-0.4047922717365298,-0.14873902617834406,-4.344263706724598,7.013657369812986e-5
Birds,50,43,(Intercept),2.1448502390801005,0.02262932902456999,2.100486600710755,2.189213877449446,94.7818751829235,0
Birds,50,43,relative_time_first_species,-0.18112366493317963,0.04978983638118858,-0.289631869008432,-0.07261546085792725,-3.637763810800775,0.0034132178393336196
Birds,50,44,(Intercept),2.082231865269722,0.04200488553865022,1.9978198872898574,2.1666438432495863,49.571182936655894,1.5567951769534306e-43
Birds,50,44,relative_time_first_species,-0.06999859136030818,0.0675292491493867,-0.20570369814754513,0.06570651542692878,-1.0365670023290037,0.3050262155678073
Birds,50,45,(Intercept),2.0753949317154623,0.03954950905401955,1.9959172163943384,2.154872647036586,52.47587091108361,1.0056300076781064e-44
Birds,50,45,relative_time_first_species,-0.11817551015912736,0.05929490591094161,-0.23733308563026134,9.82065312006633e-4,-1.9930128624644734,0.05184419025242827
Birds,50,46,(Intercept),2.2088692813787043,0.0374632314278966,2.133584099625771,2.2841544631316375,58.96099180952909,3.636975557554982e-47
Birds,50,46,relative_time_first_species,-0.23598661528144818,0.056989850417031286,-0.35051200722101516,-0.12146122334188118,-4.140853389762962,1.35971783586516e-4
Birds,50,47,(Intercept),2.1219717490658456,0.04116978809859399,2.0392379612361338,2.2047055368955575,51.54196431577733,2.387283127107766e-44
Birds,50,47,relative_time_first_species,-0.11456313672156603,0.0573154689009518,-0.229742885553671,6.166121105389555e-4,-1.9988170544246135,0.05119133584191937
Birds,50,48,(Intercept),2.1380763297095178,0.022506991171874803,2.0939525753050154,2.18220008411402,94.99609758506067,0
Birds,50,48,relative_time_first_species,-0.14415421967938544,0.05087853769283386,-0.24937381434144446,-0.03893462501732642,-2.833301156367339,0.009390211043602926
Birds,50,49,(Intercept),2.095907918655593,0.035189579686740205,2.0251918115864975,2.1666240257246883,59.56047038110411,2.2302923066552134e-47
Birds,50,49,relative_time_first_species,-0.06609595198969032,0.06507982874418887,-0.19687876389606226,0.06468685991668163,-1.0156134898494518,0.3148022175459011
Birds,50,50,(Intercept),2.140360822585254,0.04190918525075055,2.0561411609533113,2.2245804842171966,51.071401407091834,3.7117336489474116e-44
Birds,50,50,relative_time_first_species,-0.20712876148224063,0.06314530140471308,-0.33402399476606925,-0.08023352819841198,-3.2801927756224285,0.001914331507828374
Birds,75,1,(Intercept),2.106509896530725,0.036356093189270064,2.0340687991862243,2.178950993875226,57.94104128747334,2.092747313264762e-63
Birds,75,1,relative_time_first_species,-0.07603747248334825,0.05691091831879883,-0.18943495323564064,0.03736000826894413,-1.33607881808211,0.18561778865897918
Birds,75,2,(Intercept),2.1484754969743967,0.03806362161039209,2.072632075474455,2.224318918474338,56.44432678964584,1.3912809604646812e-62
